imdbID,LanguageID
tt2015381,1
tt1446714,2
tt1446714,3
tt4972582,4
tt3470600,5
tt3470600,6
tt1386697,7
tt1386697,8
tt1386697,9
tt2034800,10
tt2034800,11
tt2034800,12
tt3783958,13
tt3783958,14
tt1212428,15
tt1212428,16
tt1212428,17
tt1212428,18
tt1212428,19
tt1355644,20
tt1355644,21
tt1355644,22
tt1355644,23
tt3183660,24
tt3183660,25
tt4846340,26
tt3748528,27
tt3521164,28
tt3521164,29
tt4680182,30
tt4680182,31
tt2709768,32
tt2119532,33
tt2119532,34
tt4196776,35
tt4196776,36
tt4196776,37
tt4196776,38
tt3741834,39
tt3741834,40
tt3741834,41
tt2543164,42
tt2543164,43
tt2543164,44
tt1800302,45
tt1800302,46
tt4034228,47
tt1679335,48
tt1628841,49
tt1628841,50
tt4651520,51
tt2094766,52
tt2094766,53
tt2094766,54
tt4501244,55
tt4501244,56
tt4550098,57
tt3385516,58
tt3385516,59
tt3385516,60
tt3385516,61
tt3385516,62
tt1431045,63
tt2592614,64
tt3498820,65
tt3498820,66
tt3498820,67
tt3498820,68
tt3498820,69
tt0816692,70
tt1211837,71
tt2404435,72
tt2404435,73
tt2404435,74
tt1700841,75
tt4975722,76
tt4276820,77
tt4276820,78
tt1366338,79
tt1298650,80
tt1298650,81
tt4540710,82
tt2660888,83
tt2488496,84
tt3717252,85
tt3717252,86
tt4824302,87
tt4824302,88
tt2911666,89
tt2911666,90
tt2911666,91
tt0468569,92
tt0468569,93
tt0490215,94
tt0490215,95
tt0490215,96
tt4160708,97
tt2674426,98
tt2674426,99
tt1661275,100
tt1661275,101
tt1661275,102
tt1661275,103
tt3263904,104
tt2975590,105
tt3289956,106
tt3631112,107
tt3631112,108
tt2322441,109
tt0482571,110
tt2802144,111
tt2802144,112
tt2802144,113
tt4572514,114
tt4572514,115
tt4572514,116
tt1392190,117
tt1392190,118
tt5195412,119
tt1860357,120
tt4776998,121
tt4776998,122
tt4776998,123
tt4776998,124
tt4776998,125
tt3640424,126
tt3640424,127
tt3640424,128
tt3640424,129
tt3416532,130
tt4682786,131
tt2948356,132
tt0449088,133
tt0848228,134
tt0848228,135
tt0361748,136
tt0361748,137
tt0361748,138
tt0361748,139
tt0383574,140
tt0383574,141
tt0383574,142
tt0383574,143
tt0383574,144
tt0087332,145
tt1375666,146
tt1375666,147
tt1375666,148
tt3553976,149
tt3553976,150
tt3553976,151
tt3553976,152
tt0993846,153
tt0993846,154
tt2267998,155
tt0369610,156
tt2361317,157
tt2361317,158
tt0499549,159
tt0499549,160
tt3460252,161
tt3460252,162
tt3460252,163
tt3460252,164
tt2140479,165
tt2140479,166
tt2140479,167
tt1392214,168
tt0803096,169
tt1454029,170
tt2005151,171
tt2005151,172
tt2005151,173
tt2005151,174
tt2395427,175
tt2395427,176
tt3799694,177
tt3799694,178
tt4255304,179
tt4714782,180
tt4714782,181
tt4714782,182
tt4714782,183
