imdbID,GenreID
tt2015381,1
tt2015381,2
tt2015381,3
tt1446714,4
tt1446714,5
tt1446714,6
tt4972582,7
tt4972582,8
tt3470600,9
tt3470600,10
tt3470600,11
tt1386697,12
tt1386697,13
tt1386697,14
tt2034800,15
tt2034800,16
tt2034800,17
tt3783958,18
tt3783958,19
tt3783958,20
tt1212428,21
tt1212428,22
tt1212428,23
tt1355644,24
tt1355644,25
tt1355644,26
tt3183660,27
tt3183660,28
tt3183660,29
tt4846340,30
tt4846340,31
tt4846340,32
tt3748528,33
tt3748528,34
tt3748528,35
tt3521164,36
tt3521164,37
tt3521164,38
tt4680182,39
tt4680182,40
tt4680182,41
tt2709768,42
tt2709768,43
tt2709768,44
tt2119532,45
tt2119532,46
tt2119532,47
tt4196776,48
tt4196776,49
tt3741834,50
tt3741834,51
tt2543164,52
tt2543164,53
tt2543164,54
tt1800302,55
tt1800302,56
tt1800302,57
tt4034228,58
tt1679335,59
tt1679335,60
tt1679335,61
tt1628841,62
tt1628841,63
tt1628841,64
tt4651520,65
tt2094766,66
tt2094766,67
tt2094766,68
tt4501244,69
tt4550098,70
tt4550098,71
tt3385516,72
tt3385516,73
tt3385516,74
tt1431045,75
tt1431045,76
tt2592614,77
tt2592614,78
tt2592614,79
tt3498820,80
tt3498820,81
tt0816692,82
tt0816692,83
tt0816692,84
tt1211837,85
tt1211837,86
tt1211837,87
tt2404435,88
tt2404435,89
tt2404435,90
tt1700841,91
tt1700841,92
tt1700841,93
tt4975722,94
tt4276820,95
tt4276820,96
tt1366338,97
tt1366338,98
tt1366338,99
tt1298650,100
tt1298650,101
tt1298650,102
tt4540710,103
tt2660888,104
tt2660888,105
tt2660888,106
tt2488496,107
tt2488496,108
tt2488496,109
tt3717252,110
tt3717252,111
tt3717252,112
tt4824302,113
tt4824302,114
tt4824302,115
tt2911666,116
tt2911666,117
tt2911666,118
tt0468569,119
tt0468569,120
tt0468569,121
tt0490215,122
tt0490215,123
tt4160708,124
tt4160708,125
tt4160708,126
tt2674426,127
tt2674426,128
tt1661275,129
tt1661275,130
tt1661275,131
tt3263904,132
tt3263904,133
tt2975590,134
tt2975590,135
tt2975590,136
tt3289956,137
tt3289956,138
tt3289956,139
tt3631112,140
tt3631112,141
tt3631112,142
tt2322441,143
tt2322441,144
tt2322441,145
tt0482571,146
tt0482571,147
tt0482571,148
tt2802144,149
tt2802144,150
tt2802144,151
tt4572514,152
tt4572514,153
tt4572514,154
tt1392190,155
tt1392190,156
tt1392190,157
tt5195412,158
tt1860357,159
tt1860357,160
tt1860357,161
tt4776998,162
tt4776998,163
tt4776998,164
tt3640424,165
tt3640424,166
tt3640424,167
tt3416532,168
tt3416532,169
tt3416532,170
tt4682786,171
tt4682786,172
tt2948356,173
tt2948356,174
tt2948356,175
tt0449088,176
tt0449088,177
tt0449088,178
tt0848228,179
tt0848228,180
tt0361748,181
tt0361748,182
tt0361748,183
tt0383574,184
tt0383574,185
tt0383574,186
tt0087332,187
tt0087332,188
tt0087332,189
tt1375666,190
tt1375666,191
tt1375666,192
tt3553976,193
tt3553976,194
tt0993846,195
tt0993846,196
tt0993846,197
tt2267998,198
tt2267998,199
tt2267998,200
tt0369610,201
tt0369610,202
tt0369610,203
tt2361317,204
tt2361317,205
tt2361317,206
tt0499549,207
tt0499549,208
tt0499549,209
tt3460252,210
tt3460252,211
tt3460252,212
tt2140479,213
tt2140479,214
tt1392214,215
tt1392214,216
tt1392214,217
tt0803096,218
tt0803096,219
tt0803096,220
tt1454029,221
tt2005151,222
tt2005151,223
tt2005151,224
tt2395427,225
tt2395427,226
tt2395427,227
tt3799694,228
tt3799694,229
tt3799694,230
tt4255304,231
tt4255304,232
tt4255304,233
tt4714782,234
tt4714782,235
