,imdbID,Runtime,Metascore,BoxOffice,imdbRating,imdbVotes,DateID
0,tt2015381,121.0,76.0,333718600.0,8.0,1233785.0,1
1,tt1446714,124.0,64.0,126477084.0,7.0,626784.0,2
2,tt4972582,117.0,63.0,138291365.0,7.3,526718.0,3
3,tt3470600,108.0,59.0,270578425.0,7.1,181456.0,4
4,tt1386697,123.0,40.0,325100054.0,5.9,706414.0,5
5,tt2034800,103.0,42.0,45540830.0,5.9,142006.0,6
6,tt3783958,128.0,94.0,151101803.0,8.0,626411.0,7
7,tt1212428,141.0,78.0,8580410.0,6.6,96107.0,8
8,tt1355644,116.0,41.0,100014699.0,7.0,426430.0,9
9,tt3183660,132.0,66.0,234037575.0,7.2,492215.0,10
10,tt4846340,127.0,74.0,169607287.0,7.8,243977.0,11
11,tt3748528,133.0,65.0,533539991.0,7.8,663358.0,12
12,tt3521164,107.0,81.0,248757044.0,7.6,359039.0,13
13,tt4680182,109.0,70.0,3029287.0,6.2,67475.0,14
14,tt2709768,87.0,61.0,368384330.0,6.5,210468.0,15
15,tt2119532,139.0,71.0,67209615.0,8.1,562086.0,16
16,tt4196776,123.0,58.0,162434410.0,6.6,235582.0,17
17,tt3741834,118.0,69.0,51738905.0,8.0,244131.0,18
18,tt2543164,116.0,81.0,100546139.0,7.9,729221.0,19
19,tt1800302,120.0,49.0,7227038.0,6.7,67115.0,20
20,tt4034228,137.0,96.0,47695371.0,7.8,297531.0,21
21,tt1679335,92.0,55.0,154025064.0,6.4,86951.0,22
22,tt1628841,120.0,32.0,103144286.0,5.2,185252.0,23
23,tt4651520,100.0,60.0,113257297.0,6.2,131331.0,24
24,tt2094766,115.0,36.0,54647948.0,5.6,204553.0,25
25,tt4501244,111.0,39.0,60323786.0,6.2,119434.0,26
26,tt4550098,116.0,67.0,10663357.0,7.5,292537.0,27
27,tt3385516,144.0,52.0,155442489.0,6.9,449466.0,28
28,tt1431045,108.0,65.0,363070709.0,8.0,1080054.0,29
29,tt2592614,107.0,49.0,26830068.0,5.5,98112.0,30
30,tt3498820,147.0,75.0,408084349.0,7.8,821233.0,31
31,tt0816692,169.0,74.0,188020017.0,8.7,1957061.0,32
32,tt1211837,115.0,72.0,232641920.0,7.5,775015.0,33
33,tt2404435,132.0,54.0,93432655.0,6.9,221203.0,34
34,tt1700841,89.0,66.0,97685686.0,6.1,202754.0,35
35,tt4975722,111.0,99.0,27854932.0,7.4,321204.0,36
36,tt4276820,115.0,66.0,12786053.0,7.2,164289.0,37
37,tt1366338,98.0,57.0,6303560.0,5.7,2663.0,38
38,tt1298650,136.0,45.0,241071802.0,6.6,546195.0,39
39,tt4540710,132.0,64.0,3500605.0,7.5,79438.0,40
40,tt2660888,122.0,68.0,158848340.0,7.0,253462.0,41
41,tt2488496,138.0,80.0,936662225.0,7.8,953073.0,42
42,tt3717252,91.0,23.0,30353973.0,5.7,78905.0,43
43,tt4824302,118.0,18.0,32492859.0,5.6,38546.0,44
44,tt2911666,101.0,68.0,43037835.0,7.4,707438.0,45
45,tt0468569,152.0,84.0,534987076.0,9.0,2755440.0,46
46,tt0490215,161.0,79.0,7100177.0,7.2,117674.0,47
47,tt4160708,88.0,71.0,89217875.0,7.1,290168.0,48
48,tt2674426,106.0,51.0,56245075.0,7.4,272895.0,49
49,tt1661275,117.0,76.0,3603484.0,6.7,20844.0,50
50,tt3263904,96.0,74.0,125070033.0,7.4,288429.0,51
51,tt2975590,151.0,44.0,330360194.0,6.4,717676.0,52
52,tt3289956,86.0,65.0,10474.0,6.8,129938.0,53
53,tt3631112,112.0,48.0,75395035.0,6.5,194062.0,54
54,tt2322441,125.0,46.0,166167230.0,4.2,328143.0,55
55,tt0482571,130.0,66.0,53089891.0,8.5,1391135.0,56
56,tt2802144,129.0,60.0,128261724.0,7.7,693082.0,57
57,tt4572514,133.0,69.0,31886361.0,7.3,108795.0,58
58,tt1392190,120.0,90.0,154280290.0,8.1,1040894.0,59
59,tt5195412,106.0,62.0,262599.0,6.3,17556.0,60
60,tt1860357,107.0,68.0,61433527.0,7.1,176008.0,61
61,tt4776998,133.0,49.0,8224288.0,6.1,177497.0,62
62,tt3640424,124.0,60.0,40098064.0,7.1,163930.0,63
63,tt3416532,108.0,76.0,3740823.0,7.4,91329.0,64
64,tt4682786,97.0,23.0,31016021.0,6.8,103175.0,65
65,tt2948356,108.0,78.0,341268248.0,8.0,522760.0,66
66,tt0449088,169.0,50.0,309420425.0,7.1,674661.0,67
67,tt0848228,143.0,69.0,623357910.0,8.0,1426217.0,68
68,tt0361748,153.0,69.0,120540719.0,8.3,1510798.0,69
69,tt0383574,151.0,53.0,423315812.0,7.4,745612.0,70
70,tt0087332,105.0,71.0,243578797.0,7.8,429254.0,71
71,tt1375666,148.0,74.0,292587330.0,8.8,2446118.0,72
72,tt3553976,118.0,72.0,5879835.0,7.8,227239.0,73
73,tt0993846,180.0,75.0,116900694.0,8.2,1488043.0,74
74,tt2267998,149.0,79.0,167767189.0,8.1,1021082.0,75
75,tt0369610,124.0,59.0,653406625.0,6.9,662205.0,76
